Experiment ;Learning rate;Momentum;Weight decay;Dropout rate;Train loss;Train accuracy;Validation loss;Validation accuracy;Test loss;Test accuracy
1;0,001;0,9;0,0001;0,4;0,877;0,571;0,69;0,834;0,695;0,83
2;0,001;0,9;0,0001;0,3;0,772;0,638;0,531;0,839;0,526;0,845
3;0,001;0,9;0,0001;0,2;0,772;0,638;0,526;0,845;0,526;0,845
4;0,001;0,9;0,001;0,2;1,083;0,389;1,087;0,367;1,098;0,33
5;0,001;0,9;0,00001;0,2;1,082;0,391;1,088;0,337;1,09;0,463
6;0,0005;0,9;0,0001;0,2;1,079;0,391;1,085;0,367;1,092;0,35
7;0,001;0,95;0,0001;0,2;0,771;0,644;0,519;0,895;2,646;0,087
AlexNet;0,001;0,9;0,001;-;0,674;0,689;1,207;0,658;0,527;0,841
GoogleNet;0,001;0,9;0,001;-;0,735;0,689;1,352;0,709;0,531;0,845
SqueezeNet;0,001;0,9;0,001;-;0,679;0,701;0,615;0,614;0,514;0,822
